"year","stfips","cigsales","price"
1970,1,89.800003,39.599998
1971,1,95.400002,42.700001
1972,1,101.1,42.299999
1973,1,102.9,42.099998
1974,1,108.2,43.099998
1975,1,111.7,46.599998
1976,1,116.2,50.400002
1977,1,117.1,50.099998
1978,1,123,55.099998
1979,1,121.4,56.799999
1980,1,123.2,60.599998
1981,1,119.6,68.800003
1982,1,119.1,73.099998
1983,1,116.3,84.400002
1984,1,113,90.800003
1985,1,114.5,99
1986,1,116.3,103
1987,1,114,110
1988,1,112.1,114.4
1989,1,105.6,122.3
1990,1,108.6,139.10001
1991,1,107.9,144.39999
1992,1,109.1,172.2
1993,1,108.5,176.2
1994,1,107.1,154.60001
1995,1,102.6,155.10001
1996,1,101.4,158.3
1997,1,104.9,167.39999
1970,6,123,38.799999
1971,6,121,39.700001
1972,6,123.5,39.900002
1973,6,124.4,39.900002
1974,6,126.7,41.900002
1975,6,127.1,45
1976,6,128,48.299999
1977,6,126.4,49
1978,6,126.1,58.700001
1979,6,121.9,60.099998
1980,6,120.2,62.099998
1981,6,118.6,66.400002
1982,6,115.4,72.800003
1983,6,110.8,84.900002
1984,6,104.8,94.900002
1985,6,102.8,98
1986,6,99.699997,104.4
1987,6,97.5,103.9
1988,6,90.099998,117.4
1989,6,82.400002,126.4
1990,6,77.800003,163.8
1991,6,68.699997,186.8
1992,6,67.5,201.89999
1993,6,63.400002,205.10001
1994,6,58.599998,190.3
1995,6,56.400002,195.10001
1996,6,54.5,197.89999
1997,6,53.799999,200.3
1970,8,124.8,29.4
1971,8,125.5,31.1
1972,8,134.3,31.200001
1973,8,137.89999,32.700001
1974,8,132.8,38.099998
1975,8,131,41.700001
1976,8,134.2,44.799999
1977,8,132,44.700001
1978,8,129.2,57.400002
1979,8,131.5,52.799999
1980,8,131,54.599998
1981,8,133.8,58.099998
1982,8,130.5,61.400002
1983,8,125.3,73.300003
1984,8,119.7,83.400002
1985,8,112.4,93.099998
1986,8,109.9,95.099998
1987,8,102.4,108.6
1988,8,94.599998,116
1989,8,88.800003,130.8
1990,8,87.400002,149.3
1991,8,90.199997,152.60001
1992,8,88.300003,157.5
1993,8,88.599998,168.2
1994,8,89.099998,153.2
1995,8,85.400002,164.2
1996,8,83.099998,169.60001
1997,8,81.300003,174.39999
1970,9,120,42.200001
1971,9,117.6,45.5
1972,9,110.8,51.299999
1973,9,109.3,50.599998
1974,9,112.4,52.5
1975,9,110.2,54.5
1976,9,113.4,57.599998
1977,9,117.3,58.400002
1978,9,117.5,61.700001
1979,9,117.4,64.400002
1980,9,118,67
1981,9,116.4,80.099998
1982,9,114.7,85.599998
1983,9,114.1,95.599998
1984,9,112.5,113.5
1985,9,111,118.6
1986,9,108.5,118.5
1987,9,109,122.7
1988,9,104.8,129.7
1989,9,100.6,142
